"no","Word","Sub_Type","Type2","Type3","wildcard","wildsort","Source_Politician","Low_Precision","Low_Recall","Other_Reason","Old_Term","Include","Comment","sort","multiword","duplicate","real_duplicate","added","regex_matches","regex_lookuptime","regex_sort","word_copy","popu_list","ches2014_antielite_std","ches2017_antielite_std","ches2017_peopleelite_std","ches2017_pop_std","cses5_pop_std","mean_cor"
11,"anma(ß|ss)end(e|er|es|en|em)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"anmaßssendeeresenem",FALSE,FALSE,FALSE,2019-04-11,28,1.75,1,"anma(ß|ss)end(e|er|es|en|em)?",0.29,-0.19,0.32,0.31,0.34,0.18,0.11
12,"anti(-)?demokratisch(e|er|es|en|em)? ","diktatorische eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"antidemokratischeeresenem",TRUE,FALSE,FALSE,2019-04-11,121,1.50,1,"anti(-)?demokratisch(e|er|es|en|em)? ",0.24,0.50,0.94,0.87,0.97,0.72,0.73
13,"apparatschik(s)?","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"apparatschiks",FALSE,FALSE,FALSE,2019-04-08,16,1.50,1,"apparatschik(s)?",0.25,"NA",0.85,0.63,0.80,0.66,0.73
14,"(.*)arbeitend(e|er|en) bevölkerung","arbeitende menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"arbeitendeerenbevölkerung",TRUE,FALSE,FALSE,2019-04-11,34,1.21,1,"(.*)arbeitend(e|er|en) bevölkerung",0.77,"NA",0.85,0.63,0.80,0.66,0.73
15,"(.*)arbeitend(e|er|en|em) bürger(s|n|innen|in)?","arbeitende menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"arbeitendeerenembürgersninnenin",TRUE,FALSE,FALSE,2019-04-11,14,1.23,1,"(.*)arbeitend(e|er|en|em) bürger(s|n|innen|in)?",0.64,-0.18,0.85,0.63,0.80,0.66,0.43
16,"(.*)arbeitend(e|er|en|em) deutsche(n|r)?","arbeitende menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"arbeitendeerenemdeutschenr",TRUE,FALSE,FALSE,2019-05-10,3,1.23,1,"(.*)arbeitend(e|er|en|em) deutsche(n|r)?",0.44,"NA",0.85,0.63,0.80,0.66,0.73
17,"(.*)arbeitend(e|er|en|em) österreicher(s|n|innen|in)?","arbeitende menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"arbeitendeerenemösterreichersninnenin",TRUE,FALSE,FALSE,2019-04-11,2,1.25,1,"(.*)arbeitend(e|er|en|em) österreicher(s|n|innen|in)?",0.37,"NA","NA","NA","NA","NA","#DIV/0!"
18,"(.*)arbeitend(e|er|en|em) schweizer(s|n|innen|in)?","arbeitende menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"arbeitendeerenemschweizersninnenin",TRUE,FALSE,FALSE,2019-05-10,0,1.25,1,"(.*)arbeitend(e|er|en|em) schweizer(s|n|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
19,"arrogant(e|er|es|en|em)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"arroganteeresenem",FALSE,FALSE,FALSE,2019-04-11,74,1.50,1,"arrogant(e|er|es|en|em)?",0.71,0.02,0.91,0.85,0.94,0.28,0.41
20,"arroganz","zzz_none","conflictive","anti-elitism","none",1,0,0,0,0,0,1,,"arroganz",FALSE,FALSE,FALSE,2019-01-10,129,1.54,1,"arroganz",0.84,0.38,0.53,0.93,0.73,0.41,0.51
21,"auf kosten der allgemeinheit","auf kosten der menschen","conflictive","anti-elitism","none",1,0,0,0,0,0,1,,"aufkostenderallgemeinheit",TRUE,FALSE,FALSE,2019-04-11,18,2.74,1,"auf kosten der allgemeinheit",0.03,-0.18,0.85,0.63,0.80,0.66,0.43
22,"auf kosten de(s|r) beschäftigten","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"aufkostendesrbeschäftigten",TRUE,FALSE,FALSE,2019-04-11,13,1.50,1,"auf kosten de(s|r) beschäftigten",0.43,"NA","NA","NA","NA","NA","#DIV/0!"
23,"auf kosten de(s|r) bürger(s|innen|in)?","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"aufkostendesrbürgersinnenin",TRUE,FALSE,FALSE,2019-04-11,19,1.53,1,"auf kosten de(s|r) bürger(s|innen|in)?",0.52,0.03,0.85,0.63,0.80,0.66,0.50
24,"auf kosten de(s|r) deutschen","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"aufkostendesrdeutschen",TRUE,FALSE,FALSE,2019-04-11,20,1.52,1,"auf kosten de(s|r) deutschen",0.44,0.38,0.85,0.63,0.80,0.66,0.61
25,"auf kosten de(s|r) österreicher(s|innen|in)?","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,"very rare terms","aufkostendesrösterreichersinnenin",TRUE,FALSE,FALSE,2019-04-11,3,1.51,1,"auf kosten de(s|r) österreicher(s|innen|in)?",0.45,"NA","NA","NA","NA",0.52,0.52
26,"auf kosten de(s|r) schweizer(s|innen|in)?","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,"very rare terms","aufkostendesrschweizersinnenin",TRUE,FALSE,FALSE,2019-04-11,3,1.50,1,"auf kosten de(s|r) schweizer(s|innen|in)?",-0.06,"NA","NA","NA","NA","NA","#DIV/0!"
27,"(aus)?verkauf(t|en) (.*)partei(en)?","verabscheuenswerte eliten","conflictive","anti-elitism","regex",1,1,0,0,0,0,1,,"ausverkauftenparteien",TRUE,FALSE,FALSE,2019-04-11,8,1.69,1,"(aus)?verkauf(t|en) (.*)partei(en)?",0.54,0.21,0.85,0.63,0.80,0.66,0.56
28,"b(a|ä)nk(i)?er(.*)","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,"very rare terms","baänkier",FALSE,FALSE,FALSE,2019-04-08,84,1.13,1,"b(a|ä)nk(i)?er(.*)",0.09,0.04,0.46,0.42,0.47,0.29,0.27
29,"berufspolitiker(s|n|innen|in)?","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"berufspolitikersninnenin",FALSE,FALSE,FALSE,2019-04-08,26,1.19,1,"berufspolitiker(s|n|innen|in)?",0.12,"NA",0.85,0.63,0.80,0.25,0.53
30,"bevölkerung (.* )?wei(ß|ss)","common sense","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"bevölkerungweißss",TRUE,FALSE,FALSE,2019-04-11,7,1.14,1,"bevölkerung (.* )?wei(ß|ss)",0.66,"NA","NA","NA","NA","NA","#DIV/0!"
31,"bonze(.*)","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"bonze",FALSE,FALSE,FALSE,2019-04-08,27,1.15,1,"bonze(.*)",0.47,"NA","NA","NA","NA",0.52,0.52
32,"bürger(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat)","menschen reicht es","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"bürgerinnenindienasedieschnauzesattgenugdickehabenhat",TRUE,FALSE,FALSE,2019-04-11,8,1.15,1,"bürger(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat)",0.27,0.38,"NA","NA","NA","NA",0.38
33,"bürger(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke)","menschen reicht es","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"bürgerinneninhabenhatdienasedieschnauzesattgenugdicke",TRUE,FALSE,FALSE,2019-04-11,11,1.10,1,"bürger(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke)",0.66,"NA",0.85,0.63,0.80,0.66,0.73
34,"bürger(innen|in)? (.* )?versteh(t|en)","common sense","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"bürgerinneninverstehten",TRUE,FALSE,FALSE,2019-04-11,31,1.13,1,"bürger(innen|in)? (.* )?versteh(t|en)",0.26,"NA",0.85,0.63,0.80,0.66,0.73
35,"bürger(innen|in)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht)","volkswille","advocative","sovereignty","regex",1,0,0,0,0,0,1,,"bürgerinneninwilleinfordertmöchtemagverlangtbeanspruchtwünscht",TRUE,FALSE,FALSE,2019-04-11,96,1.29,1,"bürger(innen|in)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht)",0.62,0.50,0.79,0.52,0.72,0.66,0.63
36,"bürger(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)","volkswille","advocative","sovereignty","regex",1,0,0,0,0,0,1,,"bürgerinneninwolleneinfordernmöchtenmögenverlangenbeanspruchenwünschen",TRUE,FALSE,FALSE,2019-04-11,178,1.19,1,"bürger(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)",0.76,0.14,0.87,0.58,0.80,0.19,0.38
37,"bürger(s|n|innen|in)? (von|auf) der stra(ß|ss)e","normale menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"bürgersninneninvonaufderstraßsse",TRUE,FALSE,FALSE,2019-04-11,5,1.31,1,"bürger(s|n|innen|in)? (von|auf) der stra(ß|ss)e",0.44,"NA","NA","NA","NA","NA","#DIV/0!"
38,"bürgerwille(n|ns)?","volkswille","advocative","sovereignty","regex",1,0,0,0,0,0,1,,"bürgerwillenns",FALSE,FALSE,FALSE,2019-04-08,22,1.25,1,"bürgerwille(n|ns)?",0.68,0.38,0.79,0.65,0.78,0.18,0.45
39,"bürokrat(en|in|innen)?","elitenbezug","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"bürokratenininnen",FALSE,FALSE,FALSE,2019-05-10,71,1.09,1,"bürokrat(en|in|innen)?",0.85,0.51,0.96,0.74,0.92,0.72,0.72
40,"(.*)desaster(s)?","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"desasters",FALSE,FALSE,FALSE,2019-04-08,360,1.14,1,"(.*)desaster(s)?",0.47,0.09,0.94,0.71,0.90,0.80,0.60
41,"deutsche(n|r)? tradition(en)?","zzz_none","advocative","people-centrism","regex",1,1,0,0,0,0,1,"rechts?","deutschenrtraditionen",TRUE,FALSE,FALSE,2019-04-08,3,1.46,1,"deutsche(n|r)? tradition(en)?",0.24,"NA",0.85,0.63,0.80,0.66,0.73
42,"deutsche(n|r)? (.* )?versteh(t|en)","common sense","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"deutschenrverstehten",TRUE,FALSE,FALSE,2019-04-11,8,1.45,1,"deutsche(n|r)? (.* )?versteh(t|en)",0.44,"NA",0.85,0.63,0.80,0.66,0.73
43,"direkt(e|er)? demokratie","direkte demokratie","advocative","sovereignty","regex",1,1,0,0,0,0,1,,"direkteerdemokratie",TRUE,FALSE,FALSE,2019-04-08,428,1.35,1,"direkt(e|er)? demokratie",0.77,0.74,0.96,0.75,0.93,0.83,0.83
44,"dreist(e|er|es|en|em)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"dreisteeresenem",FALSE,FALSE,FALSE,2019-04-11,234,1.40,1,"dreist(e|er|es|en|em)?",0.39,-0.07,0.95,0.72,0.91,0.63,0.49
45,"durchschnittlich(e|er|en|em) deutsche(n|r)?","normale menschen","advocative","people-centrism","regex",1,1,0,0,0,0,1,,"durchschnittlicheerenemdeutschenr",TRUE,FALSE,FALSE,2019-04-11,4,1.34,1,"durchschnittlich(e|er|en|em) deutsche(n|r)?",0.44,"NA",0.85,0.63,0.80,0.66,0.73
46,"durchschnittlich(e|er|en|em) österreicher(s|n|innen|in)?","normale menschen","advocative","people-centrism","regex",1,1,0,0,0,0,1,,"durchschnittlicheerenemösterreichersninnenin",TRUE,FALSE,FALSE,2019-04-11,1,1.32,1,"durchschnittlich(e|er|en|em) österreicher(s|n|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
47,"durchschnittlich(e|er|en|em) schweizer(s|n|innen|in)?","normale menschen","advocative","people-centrism","regex",1,1,0,0,0,0,1,"never appeared term","durchschnittlicheerenemschweizersninnenin",TRUE,FALSE,FALSE,2019-05-10,0,1.36,1,"durchschnittlich(e|er|en|em) schweizer(s|n|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
48,"durchschnitts(-)?bürger(s|n|innen|in)?","normale menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"durchschnittsbürgersninnenin",FALSE,FALSE,FALSE,2019-04-11,11,1.39,1,"durchschnitts(-)?bürger(s|n|innen|in)?",0.40,"NA",0.85,0.63,0.80,0.66,0.73
49,"durchschnitts(-)?deutsche(n|r)?","normale menschen","advocative","people-centrism","regex",1,1,0,0,0,0,1,,"durchschnittsdeutschenr",FALSE,FALSE,FALSE,2019-04-11,10,1.44,1,"durchschnitts(-)?deutsche(n|r)?",0.44,"NA",0.85,0.63,0.80,0.66,0.73
50,"durchschnitts(-)?österreicher(s|n|innen|in)?","normale menschen","advocative","people-centrism","regex",1,1,0,0,0,0,1,,"durchschnittsösterreichersninnenin",FALSE,FALSE,FALSE,2019-04-11,0,1.34,1,"durchschnitts(-)?österreicher(s|n|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
51,"durchschnitts(-)?schweizer(s|n|innen|in)?","normale menschen","advocative","people-centrism","regex",1,1,0,0,0,0,1,,"durchschnittsschweizersninnenin",FALSE,FALSE,FALSE,2019-05-10,0,1.33,1,"durchschnitts(-)?schweizer(s|n|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
52,"einfach(e|er|en|em) arbeiter(s|n|innen|in)?","normale menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"einfacheerenemarbeitersninnenin",TRUE,FALSE,FALSE,2019-04-11,2,2.19,1,"einfach(e|er|en|em) arbeiter(s|n|innen|in)?",0.66,"NA","NA","NA","NA","NA","#DIV/0!"
53,"einfach(e|er|en|em) bürger(s|n|innen|in)?","normale menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"einfacheerenembürgersninnenin",TRUE,FALSE,FALSE,2019-04-11,27,2.24,1,"einfach(e|er|en|em) bürger(s|n|innen|in)?",0.64,0.38,0.96,0.74,0.92,0.72,0.67
54,"einfach(e|er|es|en|em) m(a|ä)nn(er|s|es|e|ern)?","normale menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"einfacheeresenemmaännerseseern",TRUE,FALSE,FALSE,2019-04-11,3,2.26,1,"einfach(e|er|es|en|em) m(a|ä)nn(er|s|es|e|ern)?",0.44,"NA",0.85,0.63,0.80,0.66,0.73
55,"einfach(e|er|es|en|em) mensch(en)?","normale menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"einfacheeresenemmenschen",TRUE,FALSE,FALSE,2019-04-11,3,2.50,1,"einfach(e|er|es|en|em) mensch(en)?",0.59,"NA",0.85,0.63,0.80,0.66,0.73
56,"elfenbeinturm","zzz_none","conflictive","anti-elitism","none",1,0,0,0,0,0,1,,"elfenbeinturm",FALSE,FALSE,FALSE,2019-04-08,21,2.20,1,"elfenbeinturm",0.21,"NA",0.53,0.80,0.68,0.35,0.52
57,"(.*)elite(n)?","elitenbezug","conflictive","anti-elitism","regex",1,1,0,0,0,0,1,,"eliten",FALSE,FALSE,FALSE,2019-05-10,389,1.52,1,"(.*)elite(n)?",0.88,0.53,0.96,0.70,0.91,0.82,0.75
58,"empörung de(s|r)","ärger der menschen","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,"not useful?","empörungdesr",TRUE,FALSE,FALSE,2019-04-11,7,2.20,1,"empörung de(s|r)",0.79,"NA",0.79,0.65,0.78,0.54,0.66
59,"erdreiste(t|n)","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"erdreistetn",FALSE,FALSE,FALSE,2019-04-11,18,2.18,1,"erdreiste(t|n)",0.27,"NA",0.85,0.63,0.80,0.66,0.73
60,"(es|das|dies) (.* )?bürger(n|innen|in)? (.* )?(langt|reicht)","menschen reicht es","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"esdasdiesbürgerninneninlangtreicht",TRUE,FALSE,FALSE,2019-04-11,4,3.25,1,"(es|das|dies) (.* )?bürger(n|innen|in)? (.* )?(langt|reicht)",-0.07,"NA",0.85,0.63,0.80,0.66,0.73
61,"(.*)establishment(s)?","elitenbezug","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"establishments",FALSE,FALSE,FALSE,2019-04-11,98,1.62,1,"(.*)establishment(s)?",0.80,0.12,0.83,0.68,0.82,0.54,0.49
62,"etabliert(e|er|en) (.*)partei(en)?","zzz_none","conflictive","anti-elitism","regex",1,1,0,0,0,0,1,,"etablierteerenparteien",TRUE,FALSE,FALSE,2019-04-08,187,2.29,1,"etabliert(e|er|en) (.*)partei(en)?",0.28,0.46,0.94,0.72,0.90,0.70,0.69
63,"eurokrat(.*)","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"eurokrat",FALSE,FALSE,FALSE,2019-04-08,42,2.30,1,"eurokrat(.*)",0.63,0.50,0.59,0.27,0.48,0.44,0.47
64,"fälschlich(erweise)?( (für|als)( eine(n)?)?)? ","pseudo-eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"fälschlicherweisefüralseinen",TRUE,FALSE,FALSE,2019-04-11,50,1.15,1,"fälschlich(erweise)?( (für|als)( eine(n)?)?)? ",0.80,0.54,0.85,0.63,0.80,0.51,0.62
65,"filz","zzz_none","conflictive","anti-elitism","none",1,0,0,0,0,0,1,,"filz",FALSE,FALSE,FALSE,2019-04-08,160,1.13,1,"filz",0.50,0.00,0.85,0.63,0.80,0.34,0.38
66,"finan(c|z)ier(s|e)?","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"financzierse",FALSE,FALSE,FALSE,2019-04-08,37,1.12,1,"finan(c|z)ier(s|e)?",0.37,0.17,"NA","NA","NA",0.52,0.35
67,"fremdherrschaft","zzz_none","conflictive","anti-elitism","none",1,0,0,0,0,0,1,,"fremdherrschaft",FALSE,FALSE,FALSE,2019-04-08,8,1.12,1,"fremdherrschaft",0.27,"NA",0.85,0.63,0.80,"NA",0.80
68,"geiselhaft","zzz_none","conflictive","anti-elitism","none",1,0,0,0,0,0,1,,"geiselhaft",FALSE,FALSE,FALSE,2019-04-08,36,1.22,1,"geiselhaft",0.32,0.02,0.49,0.22,0.40,0.66,0.36
69,"gemein(e|es|en|em) volk(s|es|e)?","normale menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"gemeineesenemvolksese",TRUE,FALSE,FALSE,2019-04-11,6,1.21,1,"gemein(e|es|en|em) volk(s|es|e)?",0.25,"NA",0.85,0.63,0.80,0.66,0.73
70,"globalist(en|in|innen)?","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"globalistenininnen",FALSE,FALSE,FALSE,2019-04-08,7,1.16,1,"globalist(en|in|innen)?",0.66,"NA",0.85,0.63,0.80,0.66,0.73
71,"(grund)?anständig(e|er|en|em) bürger(s|n|innen|in)?","ehrliche menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"grundanständigeerenembürgersninnenin",TRUE,FALSE,FALSE,2019-04-11,6,1.76,1,"(grund)?anständig(e|er|en|em) bürger(s|n|innen|in)?",0.54,"NA",0.85,0.63,0.80,0.66,0.73
72,"(grund)?anständig(e|er|es|en|em) mensch(en)?","ehrliche menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"grundanständigeeresenemmenschen",TRUE,FALSE,FALSE,2019-04-11,11,1.85,1,"(grund)?anständig(e|er|es|en|em) mensch(en)?",0.41,"NA","NA","NA","NA","NA","#DIV/0!"
73,"(grund)?vernünftig(e|er|en) leute(n)?","common sense","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"grundvernünftigeerenleuten",TRUE,FALSE,FALSE,2019-04-11,2,1.37,1,"(grund)?vernünftig(e|er|en) leute(n)?",0.44,"NA",0.85,0.63,0.80,0.66,0.73
74,"(grund)?vernünftig(e|er|es|en|em) mensch(en)?","common sense","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"grundvernünftigeeresenemmenschen",TRUE,FALSE,FALSE,2019-04-11,22,1.38,1,"(grund)?vernünftig(e|er|es|en|em) mensch(en)?",0.43,"NA",0.85,0.63,0.80,0.66,0.73
75,"günstling(s|e|en)?","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,"check","günstlingseen",FALSE,FALSE,FALSE,2019-04-08,10,1.25,1,"günstling(s|e|en)?",0.41,"NA","NA","NA","NA","NA","#DIV/0!"
76,"(haben|hat) (.* )?bürger(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)","menschen reicht es","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"habenhatbürgerinnenindienasedieschnauzesattgenugdicke",TRUE,FALSE,FALSE,2019-04-11,7,1.55,1,"(haben|hat) (.* )?bürger(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)",0.27,"NA",0.85,0.63,0.80,0.66,0.73
77,"hochnäsig(e|er|es|en|em)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"hochnäsigeeresenem",FALSE,FALSE,FALSE,2019-04-11,1,1.36,1,"hochnäsig(e|er|es|en|em)?",0.44,"NA",0.85,0.63,0.80,0.66,0.73
78,"irrwitz(.*)","zzz_none","conflictive","anti-elitism","regex",1,1,0,0,0,0,1,,"irrwitz",FALSE,FALSE,FALSE,2019-04-08,37,1.69,1,"irrwitz(.*)",0.21,0.16,0.96,0.75,0.93,0.71,0.60
79,"(.*)kapitalist(en|in|innen)?","elitenbezug","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"kapitalistenininnen",FALSE,FALSE,FALSE,2019-05-10,14,1.05,1,"(.*)kapitalist(en|in|innen)?",0.13,0.34,0.32,0.31,0.34,-0.03,0.22
80,"konzerninteresse(s|n)?","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"konzerninteressesn",FALSE,FALSE,FALSE,2019-04-08,35,1.13,1,"konzerninteresse(s|n)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
81,"konzernlobbyist(.*)","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"konzernlobbyist",FALSE,FALSE,FALSE,2019-04-08,7,1.11,1,"konzernlobbyist(.*)","NA","NA","NA","NA","NA","NA","#DIV/0!"
82,"korrumpier(.*)","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"korrumpier",FALSE,FALSE,FALSE,2019-04-08,11,1.10,1,"korrumpier(.*)",0.03,"NA",0.85,0.63,0.80,"NA",0.80
83,"korrupt(e|er|es|en|em)? ","korrupte eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"korrupteeresenem",TRUE,FALSE,FALSE,2019-04-11,111,1.05,1,"korrupt(e|er|es|en|em)? ",0.53,0.31,0.67,0.57,0.67,0.42,0.47
84,"kreisen","zzz_none","conflictive","anti-elitism","none",1,0,0,0,0,0,1,,"kreisen",FALSE,FALSE,FALSE,2019-04-08,123,1.06,1,"kreisen",0.89,0.76,0.85,0.66,0.82,0.89,0.82
85,"kuhhandel(s)?","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"kuhhandels",FALSE,FALSE,FALSE,2019-04-09,117,1.04,1,"kuhhandel(s)?",0.20,"NA","NA","NA","NA","NA","#DIV/0!"
